year,model,est_link,se_link,est,lwr,upr
2000,Combined,3.192918075250512,0.3107834210656792,24.359406412710932,13.247151788435286,44.79307629717368
2001,Combined,2.943097768244131,0.32333563667518406,18.974534073882687,10.067978284230389,35.760202610375075
2002,Combined,3.216800107046257,0.3146563809222136,24.948160874762323,13.46472900849545,46.22526978748084
2003,Combined,4.086064445915711,0.321353214702339,59.50524416625516,31.696686388842245,111.71117510037547
2004,Combined,4.463500860053525,0.31585236895800917,86.79082037744514,46.732049631322866,161.18801895521997
2005,Combined,4.2873597757887305,0.31092647198924,72.77407475596057,39.56496049945778,133.8574812088772
2006,Combined,3.942391890731287,0.3218717197220983,51.54173618027618,27.42687357310494,96.8594018343465
2007,Combined,3.6947195120491476,0.31650599335680984,40.23428577276739,21.63619842597746,74.81895478001843
2008,Combined,3.1153134143339343,0.32140082599691927,22.540493760388802,12.005535023231364,42.31996807963793
2009,Combined,4.045917382589652,0.30302079964064627,57.16360288136239,31.563349303332537,103.5275902748728
2010,Combined,5.047612663501483,0.30848097317732265,155.6504306240439,85.02879434064756,284.9276735171663
2011,Combined,4.846950414172047,0.3159295608104489,127.35142795128276,68.5613164122216,236.55301633531215
